@relation unknow
@attribute Sintoma1 real [0.01, 0.97]
@attribute Sintoma2 integer [0, 1]
@attribute Sintoma3 integer [0, 1]
@attribute Sintoma4 integer [0, 1]
@attribute Sintoma5 integer [0, 1]
@attribute Sintoma6 integer [0, 1]
@attribute Sintoma7 integer [0, 1]
@attribute Sintoma8 integer [0, 1]
@attribute Sintoma9 integer [0, 1]
@attribute Sintoma10 integer [0, 1]
@attribute Sintoma11 integer [0, 1]
@attribute Sintoma12 integer [0, 1]
@attribute Sintoma13 integer [0, 1]
@attribute Sintoma14 integer [0, 1]
@attribute Sintoma15 integer [0, 1]
@attribute Sintoma16 integer [0, 1]
@attribute Sintoma17 real [0.0, 0.53]
@attribute Sintoma18 real [5.0E-4, 0.18]
@attribute Sintoma19 real [0.0020, 0.6]
@attribute Sintoma20 real [0.017, 0.233]
@attribute Sintoma21 real [0.0020, 0.642]
@attribute class {1, 2, 3}
@inputs Sintoma1, Sintoma2, Sintoma3, Sintoma4, Sintoma5, Sintoma6, Sintoma7, Sintoma8, Sintoma9, Sintoma10, Sintoma11, Sintoma12, Sintoma13, Sintoma14, Sintoma15, Sintoma16, Sintoma17, Sintoma18, Sintoma19, Sintoma20, Sintoma21
@outputs class
@data
0.2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00189, 0.0206, 0.11118, 0.099, 0.11207, 3
0.27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0019, 0.015, 0.104, 0.099, 0.10483, 3
0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0E-4, 0.026, 0.08, 0.084, 0.095, 3
0.47, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0E-4, 0.0208, 0.099, 0.085, 0.117, 3
0.72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0023, 0.02, 0.13, 0.099, 0.13103, 3
0.79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00208, 0.022, 0.097, 0.101, 0.097, 3
0.52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0029, 0.02, 0.073, 0.104, 0.07, 3
0.73, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0E-4, 0.023, 0.094, 0.09, 0.105, 3
0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5E-4, 0.011, 0.171, 0.109, 0.157, 3
0.54, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0010, 0.024, 0.107, 0.104, 0.101, 3
0.73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0018, 0.016, 0.11, 0.098, 0.112, 3
0.45, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0017, 0.02, 0.071, 0.093, 0.076, 3
0.21, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2.0E-4, 0.025, 0.108, 0.113, 0.096, 3
0.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5E-4, 0.02, 0.134, 0.079, 0.17, 3
0.39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0E-4, 0.012, 0.081, 0.099, 0.082, 3
0.28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0010, 0.031, 0.107, 0.104, 0.103, 3
0.43, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00189, 0.0206, 0.065, 0.093, 0.07, 3
0.66, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2.0E-4, 0.018, 0.091, 0.112, 0.081, 3
0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.012, 0.017, 0.067, 0.087, 0.077, 2
0.59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0012, 0.02, 0.11, 0.096, 0.114, 3
0.28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5.0E-4, 0.022, 0.089, 0.104, 0.084, 3
0.22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00189, 0.0206, 0.11118, 0.099, 0.11207, 3
0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0060, 0.016, 0.099, 0.095, 0.104, 3
0.41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00189, 0.0206, 0.11118, 0.099, 0.11207, 3
0.59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0020, 0.024, 0.094, 0.096, 0.098, 3
0.72, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.4E-4, 0.01, 0.082, 0.086, 0.095, 3
0.78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6.4E-4, 0.017, 0.113, 0.099, 0.115, 3
0.47, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0E-5, 0.019, 0.111, 0.093, 0.119, 3
0.61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0043, 0.018, 0.124, 0.099, 0.125, 3
0.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0045, 0.0208, 0.113, 0.102, 0.111, 3
0.2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0E-5, 0.026, 0.106, 0.091, 0.116, 3
0.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00189, 0.014, 0.11118, 0.099, 0.11207, 3
0.42, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0068, 0.012, 0.044, 0.087, 0.051, 1
0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0014, 0.02, 0.134, 0.096, 0.14, 3
0.46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0024, 0.023, 0.099, 0.104, 0.091, 3
0.63, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0E-5, 0.016, 0.124, 0.089, 0.139, 3
0.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0035, 0.0206, 0.077, 0.074, 0.104, 3
0.65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3.6E-4, 0.024, 0.128, 0.101, 0.127, 3
0.65, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0013, 0.0208, 0.111, 0.099, 0.112, 3
0.28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0013, 0.014, 0.12, 0.082, 0.146, 3
0.57, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2E-4, 0.024, 0.118, 0.112, 0.106, 3
0.68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0048, 0.02, 0.087, 0.095, 0.091, 3
0.21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0012, 0.016, 0.099, 0.087, 0.114, 3
0.36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0023, 0.0206, 0.125, 0.093, 0.135, 3
0.78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0029, 0.022, 0.129, 0.097, 0.133, 3
0.34, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0033, 0.027, 0.104, 0.101, 0.103, 3
0.58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.018, 0.0208, 0.068, 0.108, 0.063, 1
0.32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.0E-4, 0.023, 0.129, 0.129, 0.1, 3
0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0073, 0.016, 0.109, 0.104, 0.105, 3
0.62, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00859, 0.011, 0.084, 0.074, 0.114, 2
0.51, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.028, 0.132, 0.095, 0.139, 3
0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0067, 0.0096, 0.03375, 0.103, 0.03249, 1
0.64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.0E-5, 0.01, 0.101, 0.082, 0.123, 3
0.81, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0019, 0.0030, 0.102, 0.096, 0.106, 3
0.38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.00189, 0.0206, 0.11118, 0.099, 0.11207, 3
0.71, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3.0E-5, 0.015, 0.104, 0.104, 0.1, 3
0.69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0E-5, 0.024, 0.136, 0.092, 0.148, 3
0.5, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.015, 0.02, 0.071, 0.108, 0.066, 3
0.39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7.9E-4, 0.019, 0.107, 0.099, 0.108, 3
